date,Open,High,Low,Close,Volume,SMA_20,RSI_14,close_BBL_20_2.0,close_BBM_20_2.0,close_BBU_20_2.0,close_BBB_20_2.0,close_BBP_20_2.0,EMA_20,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2024-01-01 00:00:00+05:30,1290.3,1303.4,1286.6,1295.1,4030540,,,,,,,,,,,
2024-01-02 00:00:00+05:30,1292.5,1307.5,1286.5,1305.85,7448800,,100.0,,,,,,,,,
2024-01-03 00:00:00+05:30,1305.0,1317.0,1288.6,1291.65,9037536,,90.7762260474,,,,,,,,,
2024-01-04 00:00:00+05:30,1294.0,1304.9,1289.55,1298.3,9612778,,91.1862302753,,,,,,,,,
2024-01-05 00:00:00+05:30,1301.45,1309.9,1299.0,1303.85,8086406,,91.5248281427,,,,,,,,,
2024-01-08 00:00:00+05:30,1305.0,1316.0,1284.5,1293.7,7734652,,85.0869435811,,,,,,,,,
2024-01-09 00:00:00+05:30,1300.0,1303.4,1288.6,1290.25,5403074,,82.9511253878,,,,,,,,,
2024-01-10 00:00:00+05:30,1288.5,1329.5,1287.5,1325.05,11102740,,86.6039112044,,,,,,,,,
2024-01-11 00:00:00+05:30,1329.5,1362.5,1328.5,1359.9,23725852,,89.1183048384,,,,,,,,,
2024-01-12 00:00:00+05:30,1359.9,1373.3,1345.75,1370.7,15012164,,89.7597665862,,,,,,,,,
2024-01-15 00:00:00+05:30,1375.0,1396.45,1366.0,1394.1,8610594,,90.9979686264,,,,,,,,,
2024-01-16 00:00:00+05:30,1390.0,1396.3,1370.5,1374.6,9069024,,82.0900615516,,,,,,,,,
2024-01-17 00:00:00+05:30,1359.5,1386.3,1355.0,1361.6,12197382,,76.6995472216,,,,,,,,,
2024-01-18 00:00:00+05:30,1351.4,1371.0,1351.25,1367.95,10279438,,77.4775312356,,,,,,,,,
2024-01-19 00:00:00+05:30,1376.0,1376.0,1359.0,1367.45,10422704,,77.2587877317,,,,,,,,,
2024-01-20 00:00:00+05:30,1365.0,1383.5,1350.0,1356.65,7283394,,72.4975367407,,,,,,,,,
2024-01-23 00:00:00+05:30,1371.75,1371.75,1322.55,1328.6,20055420,,61.8383332011,,,,,,,,,
2024-01-24 00:00:00+05:30,1335.2,1349.5,1323.9,1343.9,21919128,,64.8721948252,,,,,,,,,
2024-01-25 00:00:00+05:30,1342.95,1364.15,1335.2,1353.1,11808872,,66.5920781064,,,,,,,,,
2024-01-29 00:00:00+05:30,1364.5,1452.5,1360.2,1448.05,23893438,1341.5175,78.3652180592,1260.1609927311,1341.5175,1422.8740072689,12.1290266089,1.1547263616,1341.5175,,,
2024-01-30 00:00:00+05:30,1459.95,1460.0,1404.4,1407.6,14093978,1347.1425,67.4586366559,1263.8671658668,1347.1425,1430.4178341332,12.3632554289,0.8629976429,1347.8110714286,,,
2024-01-31 00:00:00+05:30,1404.0,1434.25,1402.5,1426.6,15130226,1353.18,69.5989328801,1265.3696338693,1353.18,1440.9903661307,12.9783718545,0.918059981,1355.3147789116,,,
2024-02-01 00:00:00+05:30,1435.0,1443.35,1418.05,1426.65,13349362,1359.93,69.6045984958,1271.3253138937,1359.93,1448.5346861063,13.0307715995,0.8765037885,1362.1086094914,,,
2024-02-02 00:00:00+05:30,1433.2,1474.9,1433.2,1457.7,19652588,1367.9,72.9730590132,1274.3647125412,1367.9,1461.4352874588,13.6757493178,0.9800327365,1371.2125514446,,,
2024-02-05 00:00:00+05:30,1460.75,1470.5,1431.5,1439.0,8814432,1374.6575,68.0797124519,1281.0799584903,1374.6575,1468.2350415097,13.6146700556,0.8437924258,1377.6684989261,,,
2024-02-06 00:00:00+05:30,1441.85,1441.85,1419.8,1427.8,9047984,1381.3625,65.2572181208,1292.8699586476,1381.3625,1469.8550413524,12.8123561125,0.7623808701,1382.4429275998,43.81930134823301,,
2024-02-07 00:00:00+05:30,1435.9,1449.5,1429.25,1442.15,9296568,1388.9575,67.1371378776,1307.2328386364,1388.9575,1470.6821613636,11.7677699085,0.8254372616,1388.1293154474,43.460250384731125,,
2024-02-08 00:00:00+05:30,1450.0,1459.5,1427.5,1450.1,14694634,1395.21,68.164873049,1314.8769893506,1395.21,1475.5430106494,11.5155439897,0.8416403765,1394.0312854048,43.31785717532375,,
2024-02-09 00:00:00+05:30,1454.0,1472.0,1450.95,1460.75,12556798,1400.2525,69.5391825564,1316.8173486847,1400.2525,1483.6876513153,11.9171579862,0.8625420404,1400.3854486996,43.56221739957368,,
2024-02-12 00:00:00+05:30,1460.75,1461.0,1442.35,1452.35,6674430,1404.335,67.0794831615,1319.112250103,1404.335,1489.557749897,12.1370969031,0.7817029494,1405.3344535853,42.58714672171163,,
2024-02-13 00:00:00+05:30,1455.5,1479.0,1454.0,1465.1,7715594,1407.885,68.878865509,1318.8342667071,1407.885,1496.9357332929,12.6502851146,0.8212494602,1411.0264103867,42.35497286615896,,
2024-02-14 00:00:00+05:30,1457.5,1483.65,1457.5,1481.4,7117888,1413.225,71.0568962966,1320.0837980537,1413.225,1506.3662019463,13.1813691304,0.8659765956,1417.7286570166,42.99067741960175,,
2024-02-15 00:00:00+05:30,1483.35,1484.7,1466.5,1470.6,10006782,1418.675,67.67724347,1325.498696682,1418.675,1511.851303318,13.1356798869,0.7786384421,1422.764023015,42.137275831335046,,
2024-02-16 00:00:00+05:30,1476.5,1477.0,1458.55,1460.6,9767498,1423.3075,64.612842231,1331.4765723394,1423.3075,1515.1384276606,12.9038774349,0.7030497837,1426.3674493945,40.19073868005671,-2.5226433006905893,42.7133819807473
2024-02-19 00:00:00+05:30,1462.05,1479.5,1453.5,1474.0,6729828,1428.635,66.7832887117,1338.029679516,1428.635,1519.240320484,12.6841804217,0.7503440182,1430.9038827855,39.27660571332808,-2.7494210139353754,42.02602672726346
2024-02-20 00:00:00+05:30,1475.0,1475.5,1461.8,1471.0,7117496,1434.3525,65.8100999409,1348.3225315297,1434.3525,1520.3824684703,11.9956521804,0.7129926388,1434.7225606155,37.87349178539739,-3.3220279534928494,41.19551973889024
2024-02-21 00:00:00+05:30,1474.0,1488.5,1457.55,1467.7,12720292,1441.3075,64.6933238162,1369.2425274058,1441.3075,1513.3724725942,9.999944161,0.6831160066,1437.8632691283,36.07933139416491,-4.092950675780266,40.172282069945176
2024-02-22 00:00:00+05:30,1468.15,1484.95,1458.0,1481.75,18493728,1448.2,67.2421271742,1389.6098216422,1448.2,1506.7901783578,8.0914484681,0.7863107857,1442.0429577827,35.38328742503222,-3.831195715930363,39.214483140962585
2024-02-23 00:00:00+05:30,1489.5,1497.55,1483.35,1493.6,14438584,1455.225,69.2578919431,1412.3433430824,1455.225,1498.1066569176,5.8934744686,0.9474523929,1446.9531522796,35.38002462955728,-3.0675668091242443,38.44759143868153
