date,Open,High,Low,Close,Volume,close_RSI_14,ATRr_14,VWAP_D
2024-11-01T00:00:00+0530,1333.05,1341.95,1333.0,1338.65,2127335,,,1337.8666666667
2024-11-04T00:00:00+0530,1337.85,1340.0,1285.1,1302.15,19796890,0.0,,1309.0833333333
2024-11-05T00:00:00+0530,1293.0,1309.55,1286.15,1305.3,16267479,0.6594786978,,1300.3333333333
2024-11-06T00:00:00+0530,1310.0,1328.3,1300.2,1325.35,21625209,4.9559717418,,1317.95
2024-11-07T00:00:00+0530,1324.0,1324.0,1302.6,1305.65,9611974,4.7390918266,,1310.75
2024-11-08T00:00:00+0530,1297.65,1301.65,1275.0,1283.75,19814406,4.5031682936,,1286.8
2024-11-11T00:00:00+0530,1278.95,1286.0,1267.0,1272.7,9056552,4.3845626736,,1275.2333333333
2024-11-12T00:00:00+0530,1275.55,1289.3,1267.5,1274.25,10671091,4.7634802148,,1277.0166666667
2024-11-13T00:00:00+0530,1270.25,1275.45,1249.5,1252.05,14633633,4.4890826482,,1259.0
2024-11-14T00:00:00+0530,1253.6,1272.6,1251.1,1267.6,12612633,8.466472767,,1263.7666666667
2024-11-18T00:00:00+0530,1267.6,1272.9,1243.9,1260.75,13620611,8.3024528997,,1259.1833333333
2024-11-19T00:00:00+0530,1260.75,1281.5,1235.15,1241.65,14183746,7.8460260689,,1252.7666666667
2024-11-21T00:00:00+0530,1241.65,1243.95,1217.25,1223.0,19433843,7.4172432081,,1228.0666666667
2024-11-22T00:00:00+0530,1229.4,1268.85,1222.45,1265.4,20471957,18.3430280926,28.9607142857,1252.2333333333
2024-11-25T00:00:00+0530,1290.0,1304.45,1282.45,1287.0,28923341,23.3083047627,29.681377551,1291.3
2024-11-26T00:00:00+0530,1294.95,1297.85,1284.2,1295.7,9247557,25.2791042309,28.5362791545,1292.5833333333
2024-11-27T00:00:00+0530,1293.5,1303.85,1286.0,1293.2,9572746,25.0796601348,27.7729735006,1294.35
2024-11-28T00:00:00+0530,1289.95,1296.6,1269.05,1270.8,15027412,23.3054324053,27.757046822,1278.8166666667
2024-11-29T00:00:00+0530,1280.0,1299.5,1275.25,1292.2,13202307,28.5088696127,27.8244006204,1288.9833333333
2024-12-02T00:00:00+0530,1288.0,1311.35,1277.05,1309.15,11024152,32.4198486442,28.2869434333,1299.1833333333
2024-12-03T00:00:00+0530,1317.0,1326.8,1307.0,1323.3,16869482,35.5877608756,27.680733188,1319.0333333333
2024-12-04T00:00:00+0530,1326.0,1328.4,1304.05,1308.95,19608540,33.8545508915,27.4428236746,1313.8
2024-12-05T00:00:00+0530,1314.35,1329.95,1306.15,1322.05,16858723,36.8768886275,27.1826219836,1319.3833333333
2024-12-06T00:00:00+0530,1323.9,1323.9,1310.0,1311.55,9037514,35.4776228161,26.2338632704,1315.15
2024-12-09T00:00:00+0530,1303.0,1315.0,1293.1,1295.15,14650002,33.3491415004,25.9243016083,1301.0833333333
2024-12-10T00:00:00+0530,1289.25,1294.9,1280.2,1284.85,16043729,32.0486626269,25.140422922,1286.65
